#node time(s) x y
0 0.0 23 15
1 0.0 87 45
2 0.0 34 76
3 0.0 56 29
4 0.0 12 89
5 0.0 91 12
6 0.0 40 55
7 0.0 78 33
8 0.0 15 63
9 0.0 62 17

0 1.0 35 20
1 1.0 60 90
2 1.0 42 18
3 1.0 25 75
4 1.0 88 24
5 1.0 50 66
6 1.0 19 43
7 1.0 70 70
8 1.0 5 35
9 1.0 95 85

0 2.0 55 88
1 2.0 20 60
2 2.0 75 13
3 2.0 44 44
4 2.0 67 21
5 2.0 30 91
6 2.0 12 34
7 2.0 80 55
8 2.0 7 7
9 2.0 90 28

0 3.0 28 57
1 3.0 93 22
2 3.0 17 90
3 3.0 49 63
4 3.0 37 19
5 3.0 60 40
6 3.0 5 50
7 3.0 33 75
8 3.0 85 15
9 3.0 65 82

0 4.0 72 53
1 4.0 9 12
2 4.0 40 25
3 4.0 65 45
4 4.0 85 70
5 4.0 22 77
6 4.0 35 5
7 4.0 59 37
8 4.0 10 92
9 4.0 50 80
